municipio,IBGE,uf,c1,c2,ciclo
Magé,330250,RJ,0,12,Ciclo 3
Maricá,330270,RJ,17,0,Ciclo 3
Mesquita,330285,RJ,0,12,Ciclo 3
Nilópolis,330320,RJ,9,0,Ciclo 3
Niterói,330330,RJ,36,0,Ciclo 3
Nova Iguaçu,330350,RJ,39,1,Ciclo 3
Queimados,330414,RJ,0,10,Ciclo 3
Resende,330420,RJ,10,0,Ciclo 3
Rio de Janeiro,330455,RJ,190,0,Ciclo 3
São Gonçalo,330490,RJ,2,106,Ciclo 3
São João de Meriti,330510,RJ,9,6,Ciclo 3
Bauru,350600,SP,5,2,Ciclo 3
Botucatu,350750,SP,14,0,Ciclo 3
Cubatão,351350,SP,6,0,Ciclo 3
Guarujá,351870,SP,10,0,Ciclo 3
Itapetininga,352230,SP,8,0,Ciclo 3
Itaquaquecetuba,352310,SP,6,0,Ciclo 3
Ourinhos,353470,SP,5,0,Ciclo 3
Praia Grande,354100,SP,21,0,Ciclo 3
São Paulo,355030,SP,263,3,Ciclo 3
Almirante Tamandaré,410040,PR,3,0,Ciclo 3
Curitiba,410690,PR,89,0,Ciclo 3
Florianópolis,420540,SC,47,0,Ciclo 3
Palhoça,421190,SC,21,0,Ciclo 3
São José,421660,SC,17,0,Ciclo 3
Alvorada,430060,RS,1,14,Ciclo 3
Bento Gonçalves,430210,RS,11,0,Ciclo 3
Canoas,430460,RS,2,22,Ciclo 3
Caxias do Sul,430510,RS,18,0,Ciclo 3
Passo Fundo,431410,RS,3,10,Ciclo 3
Porto Alegre,431490,RS,124,5,Ciclo 3
Rio Grande,431560,RS,17,5,Ciclo 3
Santa Cruz do Sul,431680,RS,15,1,Ciclo 3
Santa Maria,431690,RS,2,11,Ciclo 3
São Leopoldo,431870,RS,1,9,Ciclo 3
Sapucaia do Sul,432000,RS,4,13,Ciclo 3
Viamão,432300,RS,6,6,Ciclo 3
Campo Grande,500270,MS,32,1,Ciclo 3
Dourados,500370,MS,8,19,Ciclo 3
Cuiabá,510340,MT,44,1,Ciclo 3
Goiânia,520870,GO,32,29,Ciclo 3
Luziânia,521250,GO,9,10,Ciclo 3
Brasília,530010,DF,55,16,Ciclo 3
