uf,municipio,IBGE,c0,c1,c2,c3,c4,ciclo
PR,Almirante Tamandaré,410040,0,1,5,NA,NA,Ciclo 2
PR,Curitiba,410690,0,1,100,NA,NA,Ciclo 2
SC,Florianópolis,420540,0,7,38,NA,NA,Ciclo 2
SC,Palhoça,421190,0,0,19,NA,NA,Ciclo 2
SC,São José,421660,0,1,18,NA,NA,Ciclo 2
RS,Alvorada,430060,1,12,0,NA,NA,Ciclo 2
RS,Bento Gonçalves,430210,0,10,1,NA,NA,Ciclo 2
RS,Canoas,430460,9,2,0,NA,NA,Ciclo 2
RS,Caxias do Sul,430510,5,17,0,NA,NA,Ciclo 2
RS,Passo Fundo,431410,13,2,0,NA,NA,Ciclo 2
RS,Porto Alegre,431490,104,19,10,NA,NA,Ciclo 2
RS,Rio Grande,431560,17,1,0,NA,NA,Ciclo 2
RS,Santa Cruz do Sul,431680,0,11,0,NA,NA,Ciclo 2
RS,Santa Maria,431690,5,7,1,NA,NA,Ciclo 2
RS,São Leopoldo,431870,9,0,0,NA,NA,Ciclo 2
RS,Sapucaia do Sul,432000,1,12,1,NA,NA,Ciclo 2
MS,Campo Grande,500270,33,1,0,NA,NA,Ciclo 2
MS,Dourados,500370,19,4,2,NA,NA,Ciclo 2
MT,Cuiabá,510340,0,13,37,NA,NA,Ciclo 2
GO,Goiânia,520870,5,0,54,NA,NA,Ciclo 2
GO,Luziânia,521250,0,0,17,NA,NA,Ciclo 2
DF,Brasília,530010,41,15,8,NA,NA,Ciclo 2
RO,Porto Velho,110012,3,9,0,0,0,Ciclo 3
AC,Rio Branco,120040,22,14,0,1,19,Ciclo 3
AM,Manaus,130260,27,65,7,2,87,Ciclo 3
RR,Boa Vista,140010,29,3,0,0,0,Ciclo 3
PA,Belém,150140,29,6,2,10,6,Ciclo 3
PA,Bragança,150170,6,8,2,1,0,Ciclo 3
PA,Marabá,150420,1,1,6,3,0,Ciclo 3
PA,Marituba,150442,0,0,0,9,4,Ciclo 3
PA,Parauapebas,150553,0,7,2,0,0,Ciclo 3
AP,Macapá,160030,13,17,1,1,7,Ciclo 3
TO,Araguaína,170210,0,10,0,3,5,Ciclo 3
TO,Palmas,172100,17,15,0,0,0,Ciclo 3
MA,Paço do Lumiar,210750,0,3,1,3,1,Ciclo 3
MA,São Luís,211130,12,30,3,1,3,Ciclo 3
MA,Timon,211220,6,16,2,5,4,Ciclo 3
PI,Parnaíba,220770,2,25,5,0,1,Ciclo 3
PI,Teresina,221100,5,6,5,7,1,Ciclo 3
CE,Caucaia,230370,1,5,3,1,35,Ciclo 3
CE,Fortaleza,230440,28,13,2,3,47,Ciclo 3
CE,Maracanaú,230765,24,3,0,0,0,Ciclo 3
RN,Parnamirim,240325,3,6,9,10,0,Ciclo 3
RN,Natal,240810,31,9,2,0,0,Ciclo 3
PB,João Pessoa,250750,57,5,1,32,8,Ciclo 3
PB,Santa Rita,251370,0,29,0,0,8,Ciclo 3
PE,Cabo de Santo Agostinho,260290,2,0,33,3,2,Ciclo 3
PE,Camaragibe,260345,0,2,7,2,32,Ciclo 3
PE,Igarassu,260680,5,18,0,5,1,Ciclo 3
PE,Jaboatão dos Guararapes,260790,1,4,8,59,22,Ciclo 3
PE,Olinda,260960,11,2,9,13,7,Ciclo 3
