uf,municipio,IBGE,benzatina_1,benzatina_2,benzatina_998,ciclo,benzatina_9997,proc.pot_1,proc.pot_2,proc.pot_998,proc.pot_9997
SP,Ourinhos,353470,3,1,0,Ciclo 2,NA,3,1,NA,NA
SP,Praia Grande,354100,13,1,3,Ciclo 2,NA,13,1,3,NA
SP,São Paulo,355030,227,35,7,Ciclo 2,NA,227,35,7,NA
PR,Almirante Tamandaré,410040,6,0,0,Ciclo 2,NA,6,0,NA,NA
PR,Curitiba,410690,75,18,8,Ciclo 2,NA,75,18,8,NA
SC,Florianópolis,420540,44,0,1,Ciclo 2,NA,44,0,1,NA
SC,Palhoça,421190,5,14,0,Ciclo 2,NA,5,14,NA,NA
SC,São José,421660,18,1,0,Ciclo 2,NA,18,1,NA,NA
RS,Alvorada,430060,3,1,9,Ciclo 2,NA,3,1,9,NA
RS,Bento Gonçalves,430210,9,2,0,Ciclo 2,NA,9,2,NA,NA
RS,Canoas,430460,0,0,11,Ciclo 2,NA,0,0,11,NA
RS,Caxias do Sul,430510,21,1,0,Ciclo 2,NA,21,1,NA,NA
RS,Passo Fundo,431410,1,1,13,Ciclo 2,NA,1,1,13,NA
RS,Porto Alegre,431490,110,21,2,Ciclo 2,NA,110,21,2,NA
RS,Rio Grande,431560,16,1,1,Ciclo 2,NA,16,1,1,NA
RS,Santa Cruz do Sul,431680,7,3,1,Ciclo 2,NA,7,3,1,NA
RS,Santa Maria,431690,12,0,1,Ciclo 2,NA,12,0,1,NA
RS,São Leopoldo,431870,0,0,9,Ciclo 2,NA,0,0,9,NA
RS,Sapucaia do Sul,432000,3,0,11,Ciclo 2,NA,3,0,11,NA
MS,Campo Grande,500270,31,3,0,Ciclo 2,NA,31,3,NA,NA
MS,Dourados,500370,6,5,14,Ciclo 2,NA,6,5,14,NA
MT,Cuiabá,510340,1,44,5,Ciclo 2,NA,1,44,5,NA
GO,Goiânia,520870,22,8,29,Ciclo 2,NA,22,8,29,NA
GO,Luziânia,521250,1,14,2,Ciclo 2,NA,1,14,2,NA
DF,Brasília,530010,35,17,12,Ciclo 2,NA,35,17,12,NA
RO,Porto Velho,110012,5,0,7,Ciclo 3,NA,5,NA,7,NA
AC,Rio Branco,120040,16,24,1,Ciclo 3,15,16,24,1,15
AM,Manaus,130260,19,155,5,Ciclo 3,9,19,155,5,9
RR,Boa Vista,140010,30,2,0,Ciclo 3,NA,30,2,NA,NA
PA,Belém,150140,2,33,18,Ciclo 3,NA,2,33,18,NA
PA,Bragança,150170,13,4,0,Ciclo 3,NA,13,4,NA,NA
PA,Marabá,150420,10,1,0,Ciclo 3,NA,10,1,NA,NA
PA,Marituba,150442,7,5,1,Ciclo 3,NA,7,5,1,NA
PA,Parauapebas,150553,8,1,0,Ciclo 3,NA,8,1,NA,NA
AP,Macapá,160030,30,4,2,Ciclo 3,3,30,4,2,3
TO,Araguaína,170210,13,3,1,Ciclo 3,1,13,3,1,1
TO,Palmas,172100,10,0,22,Ciclo 3,NA,10,NA,22,NA
MA,Paço do Lumiar,210750,2,6,0,Ciclo 3,NA,2,6,NA,NA
MA,São Luís,211130,25,22,0,Ciclo 3,2,25,22,NA,2
MA,Timon,211220,6,27,0,Ciclo 3,NA,6,27,NA,NA
PI,Parnaíba,220770,0,32,0,Ciclo 3,1,NA,32,NA,1
PI,Teresina,221100,23,0,0,Ciclo 3,1,23,NA,NA,1
CE,Caucaia,230370,3,42,0,Ciclo 3,NA,3,42,NA,NA
CE,Fortaleza,230440,45,3,0,Ciclo 3,45,45,3,NA,45
CE,Maracanaú,230765,25,2,0,Ciclo 3,NA,25,2,NA,NA
RN,Parnamirim,240325,1,27,0,Ciclo 3,NA,1,27,NA,NA
RN,Natal,240810,5,37,0,Ciclo 3,NA,5,37,NA,NA
PB,João Pessoa,250750,1,49,47,Ciclo 3,6,1,49,47,6
PB,Santa Rita,251370,0,4,25,Ciclo 3,8,NA,4,25,8
PE,Cabo de Santo Agostinho,260290,7,31,0,Ciclo 3,2,7,31,NA,2
PE,Camaragibe,260345,0,43,0,Ciclo 3,NA,NA,43,NA,NA
PE,Igarassu,260680,5,24,0,Ciclo 3,NA,5,24,NA,NA
PE,Jaboatão dos Guararapes,260790,60,13,1,Ciclo 3,20,60,13,1,20
PE,Olinda,260960,30,9,0,Ciclo 3,3,30,9,NA,3
PE,Petrolina,261110,34,5,0,Ciclo 3,3,34,5,NA,3
PE,Recife,261160,50,7,13,Ciclo 3,56,50,7,13,56
PE,São Lourenço da Mata,261370,2,15,0,Ciclo 3,8,2,15,NA,8
AL,Maceió,270430,29,4,2,Ciclo 3,6,29,4,2,6
SE,Aracaju,280030,40,2,1,Ciclo 3,NA,40,2,1,NA
SE,Nossa Senhora do Socorro,280480,12,4,0,Ciclo 3,NA,12,4,NA,NA
BA,Camaçari,290570,3,1,5,Ciclo 3,NA,3,1,5,NA
BA,Porto Seguro,292530,25,0,0,Ciclo 3,11,25,NA,NA,11
BA,Salvador,292740,30,12,1,Ciclo 3,24,30,12,1,24
BA,Teixeira de Freitas,293135,33,0,0,Ciclo 3,5,33,NA,NA,5
MG,Belo Horizonte,310620,115,7,0,Ciclo 3,27,115,7,NA,27
MG,Governador Valadares,312770,1,13,28,Ciclo 3,NA,1,13,28,NA
